id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,algorithm_idx,algorithm_prefix_idx,algorithm_suffix_idx
1990,series2x2_parallel1,575.1441,0.3333,1.4688,2.5428,4.5206,4.5963,4.7913,0.0,0.0,0.0,0.0,0.0,1,1,1
675,series3_parallel2,83.6004,1.5,1.8564,0.3498,1.4305,0.5682,4.9595,0.0,0.0,0.0,0.0,0.0,3,2,2
1975,series3,110.2321,1.5,0.8783,4.1558,2.4975,0.4534,1.8158,0.0,0.0,0.0,0.0,0.0,2,2,0
790,parallel5,140.193,3.0,0.8916,1.8756,3.5377,1.3984,3.8034,0.0,0.0,0.0,0.0,0.0,0,0,3
1917,series3,227.3093,0.6667,1.556,1.2469,0.7687,2.6088,0.2454,0.0,0.0,0.0,0.0,0.0,2,2,0
2351,parallel5,425.6229,0.2,2.6965,3.3561,1.743,2.9879,3.8281,0.0,0.0,0.0,0.0,0.0,0,0,3
3716,parallel5,160.6563,0.125,2.4267,2.9167,4.3094,3.8106,1.4776,0.0,0.0,0.0,0.0,0.0,0,0,3
3976,series2x2_parallel1,124.6769,0.1667,1.446,5.1169,1.8354,4.1084,3.8379,0.0,0.0,0.0,0.0,0.0,1,1,1
3721,series3,258.5693,0.6667,2.7697,1.2632,5.2716,0.3274,5.2844,0.0,0.0,0.0,0.0,0.0,2,2,0
1587,series2x2_parallel1,66.0676,0.1667,5.9504,2.9127,2.6966,2.4991,2.9015,0.0,0.0,0.0,0.0,0.0,1,1,1
13,series3_parallel2,223.8572,0.1667,4.1679,1.7342,2.0123,1.6588,1.0671,0.0,0.0,0.0,0.0,0.0,3,2,2
531,series3,368.0118,1.5,3.1787,1.6025,2.1663,2.2947,0.1933,0.0,0.0,0.0,0.0,0.0,2,2,0
3385,parallel5,306.0325,0.1667,0.5458,1.2907,1.9337,0.4646,1.6981,0.0,0.0,0.0,0.0,0.0,0,0,3
3575,series2x2_parallel1,179.1279,3.0,2.7181,3.101,1.1216,0.5437,0.4576,0.0,0.0,0.0,0.0,0.0,1,1,1
