id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,ratio_log2,freq_log2,algorithm_idx,algorithm_prefix_idx,algorithm_suffix_idx
3828,series3_parallel2,399.5451,1.0,2.2642,0.4957,2.2005,4.0355,1.8615,0.0,0.0,0.0,0.0,0.0,0.0,8.642215,3,2,2
2438,series3,339.6499,0.1667,3.0748,5.8881,3.1757,1.6757,1.4475,0.0,0.0,0.0,0.0,0.0,-2.584674,8.407905,2,2,0
861,series2x2_parallel1,664.4663,0.6667,0.696,1.1485,3.3896,4.14,3.4594,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.376052,1,1,1
4015,series2x2_parallel1,612.3117,0.25,4.8182,1.4768,2.5148,0.8536,3.6443,0.0,0.0,0.0,0.0,0.0,-2.0,9.258122,1,1,1
876,series2x2_parallel1,434.2611,0.25,1.6121,2.9421,3.0589,0.8533,1.9099,0.0,0.0,0.0,0.0,0.0,-2.0,8.762419,1,1,1
3997,series2x2_parallel1,65.5691,0.125,2.3256,3.1566,1.0824,0.2283,3.7518,0.0,0.0,0.0,0.0,0.0,-3.0,6.034944,1,1,1
22,series2x2_parallel1,720.8012,2.0,2.5478,1.4981,5.2758,2.6209,1.869,0.0,0.0,0.0,0.0,0.0,1.0,9.493458,1,1,1
1394,series2x2_parallel1,69.2185,1.0,0.7813,3.6412,1.8958,3.9968,2.7584,0.0,0.0,0.0,0.0,0.0,0.0,6.1130857,1,1,1
2120,series3,190.0926,2.0,2.4231,5.5926,0.6039,2.4045,1.5881,0.0,0.0,0.0,0.0,0.0,1.0,7.5705585,2,2,0
526,parallel5,88.6718,0.2,0.8039,1.9153,3.9912,1.8389,0.2029,0.0,0.0,0.0,0.0,0.0,-2.321928,6.4704037,0,0,3
3284,parallel5,95.8448,0.5,2.413,4.684,2.3653,0.9482,5.3749,0.0,0.0,0.0,0.0,0.0,-1.0,6.5826283,0,0,3
347,series2x2_parallel1,103.2248,1.5,0.277,3.8474,4.1269,2.9719,0.3305,0.0,0.0,0.0,0.0,0.0,0.5849625,6.689646,1,1,1
2060,series3_parallel2,191.0823,0.3333,2.4822,3.8984,1.5716,2.0523,2.3033,0.0,0.0,0.0,0.0,0.0,-1.5851068,7.5780506,3,2,2
1424,series2x2_parallel1,77.0474,3.0,2.3471,3.039,0.5005,1.2387,3.0607,0.0,0.0,0.0,0.0,0.0,1.5849625,6.2676744,1,1,1
1224,series3,143.9279,0.6667,3.7148,2.2327,2.2998,1.2086,0.3057,0.0,0.0,0.0,0.0,0.0,-0.58489037,7.1692023,2,2,0
3255,series3_parallel2,122.0438,0.5,4.4563,2.1116,3.2759,0.1949,0.8042,0.0,0.0,0.0,0.0,0.0,-1.0,6.9312553,3,2,2
3007,series3,75.1163,0.1667,4.2379,0.9737,2.5928,4.2757,0.9616,0.0,0.0,0.0,0.0,0.0,-2.584674,6.2310543,2,2,0
96,series2x2_parallel1,73.4059,4.0,2.442,1.2887,3.4068,4.0239,0.9043,0.0,0.0,0.0,0.0,0.0,2.0,6.197824,1,1,1
1857,parallel5,372.5249,0.1667,1.7115,4.1721,1.0639,0.4593,2.7765,0.0,0.0,0.0,0.0,0.0,-2.584674,8.541193,0,0,3
3882,series3,114.6856,2.0,1.7018,3.6045,1.2361,0.4794,2.2727,0.0,0.0,0.0,0.0,0.0,1.0,6.8415403,2,2,0
1415,series3_parallel2,83.0148,0.5,0.7223,0.252,0.5718,0.5547,0.8799,0.0,0.0,0.0,0.0,0.0,-1.0,6.3752966,3,2,2
2516,series3,89.1112,0.6667,0.4866,5.5613,3.0352,1.353,4.9126,0.0,0.0,0.0,0.0,0.0,-0.58489037,6.477535,2,2,0
1001,series3,391.1937,0.3333,2.3769,0.8425,1.691,5.6307,0.9444,0.0,0.0,0.0,0.0,0.0,-1.5851068,8.611739,2,2,0
3530,series2x2_parallel1,155.8381,0.3333,3.6084,4.6396,1.732,2.1292,0.2499,0.0,0.0,0.0,0.0,0.0,-1.5851068,7.283904,1,1,1
1312,parallel5,158.4143,0.6667,4.376,0.8026,0.528,2.3571,1.7079,0.0,0.0,0.0,0.0,0.0,-0.58489037,7.307559,0,0,3
754,series3_parallel2,91.1756,0.3333,2.4197,3.4123,1.6448,0.4204,1.6874,0.0,0.0,0.0,0.0,0.0,-1.5851068,6.510576,3,2,2
2106,series3_parallel2,329.5634,0.3333,2.3842,1.3581,2.9829,1.554,1.0439,0.0,0.0,0.0,0.0,0.0,-1.5851068,8.364412,3,2,2
1456,parallel5,145.3114,2.0,2.8209,1.6499,2.1815,1.0113,3.8138,0.0,0.0,0.0,0.0,0.0,1.0,7.183004,0,0,3
2994,parallel5,528.7266,4.0,1.286,4.1721,0.7513,2.0393,2.3328,0.0,0.0,0.0,0.0,0.0,2.0,9.046378,0,0,3
2974,series3,65.5483,0.25,4.8011,5.8173,5.6046,2.1853,5.0463,0.0,0.0,0.0,0.0,0.0,-2.0,6.0344863,2,2,0
3852,parallel5,605.3031,0.6667,3.9531,0.7413,2.7056,1.8234,5.1283,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.241514,0,0,3
898,series3,87.1424,0.5,3.9489,1.1063,3.996,0.3962,3.6066,0.0,0.0,0.0,0.0,0.0,-1.0,6.445303,2,2,0
2416,parallel5,221.1935,0.3333,0.1759,0.9143,2.3542,0.9144,0.6207,0.0,0.0,0.0,0.0,0.0,-1.5851068,7.789165,0,0,3
1818,series2x2_parallel1,97.6217,0.25,2.6764,2.3672,3.6995,2.8684,2.6471,0.0,0.0,0.0,0.0,0.0,-2.0,6.60913,1,1,1
2404,series3_parallel2,218.1602,4.0,1.4532,2.0017,4.6018,3.3261,0.6083,0.0,0.0,0.0,0.0,0.0,2.0,7.769244,3,2,2
