id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,ratio_log2,freq_log2,algorithm_idx
2791,series2x2_parallel1,328.485,0.6667,4.1695,1.7768,2.4548,2.2073,1.1662,0.0,0.0,0.0,0.0,0.0,-0.58489037,8.359684,1
8189,series2x2_parallel1,77.0458,0.125,1.5365,4.0279,3.7379,4.0975,5.8624,0.0,0.0,0.0,0.0,0.0,-3.0,6.2676444,1
3290,parallel5,325.6759,0.1667,0.9949,2.9956,2.8527,3.5415,3.4135,0.0,0.0,0.0,0.0,0.0,-2.584674,8.347293,0
7726,series3_parallel2,606.1432,0.6667,5.1935,2.9877,0.6418,1.2351,4.1073,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.243515,3
4716,series3,166.6871,2.0,1.277,2.4916,0.7431,0.8096,0.3154,0.0,0.0,0.0,0.0,0.0,1.0,7.3809986,2
7289,series3,456.5168,4.0,2.2303,1.3612,0.3186,2.3882,2.4061,0.0,0.0,0.0,0.0,0.0,2.0,8.834524,2
2251,parallel5,855.1857,1.5,3.7284,3.3994,2.7367,1.2174,1.2212,0.0,0.0,0.0,0.0,0.0,0.5849625,9.740094,0
3611,series3_parallel2,66.8204,0.3333,3.5735,1.1039,4.0289,0.6619,1.2547,0.0,0.0,0.0,0.0,0.0,-1.5851068,6.0622168,3
3623,series3,116.744,0.2,2.3276,3.2038,1.3914,3.1736,3.7792,0.0,0.0,0.0,0.0,0.0,-2.321928,6.8672047,2
3655,series3_parallel2,364.5628,0.5,5.7891,2.8291,1.0285,0.3234,1.1292,0.0,0.0,0.0,0.0,0.0,-1.0,8.510023,3
3163,series3_parallel2,82.9848,3.0,0.3672,2.6897,5.3409,2.7533,1.1271,0.0,0.0,0.0,0.0,0.0,1.5849625,6.3747754,3
279,parallel5,66.177,3.0,0.3815,5.0357,1.0488,2.9914,0.8889,0.0,0.0,0.0,0.0,0.0,1.5849625,6.048258,0
1342,parallel5,232.6912,0.125,3.6997,3.4049,0.1997,0.39,2.2757,0.0,0.0,0.0,0.0,0.0,-3.0,7.8622727,0
9061,parallel5,472.6055,0.5,0.3627,0.5657,0.9416,2.9822,1.9646,0.0,0.0,0.0,0.0,0.0,-1.0,8.884493,0
6535,series3_parallel2,89.0127,0.6667,1.3452,3.882,1.9227,4.0023,3.4081,0.0,0.0,0.0,0.0,0.0,-0.58489037,6.4759393,3
3438,series3_parallel2,311.7451,0.3333,1.9946,2.0251,2.2723,5.8326,0.5242,0.0,0.0,0.0,0.0,0.0,-1.5851068,8.284223,3
8003,series3_parallel2,625.7747,1.0,2.2842,0.9796,2.0875,0.4826,2.6804,0.0,0.0,0.0,0.0,0.0,0.0,9.289499,3
9334,series2x2_parallel1,87.0005,0.5,3.4684,0.7164,3.7166,1.8362,1.2389,0.0,0.0,0.0,0.0,0.0,-1.0,6.4429517,1
9817,series2x2_parallel1,390.9713,0.6667,0.175,4.1423,0.3512,0.4833,0.4684,0.0,0.0,0.0,0.0,0.0,-0.58489037,8.610919,1
4008,parallel5,312.7887,0.3333,2.7266,3.4519,2.4363,3.886,2.4373,0.0,0.0,0.0,0.0,0.0,-1.5851068,8.289044,0
2037,series2x2_parallel1,370.3984,4.0,1.2174,3.2702,2.7767,3.4109,0.217,0.0,0.0,0.0,0.0,0.0,2.0,8.532934,1
