id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,ratio_log2_head,freq_log2_head,index_12_head,index_23_head,index_3c_head,index_4c_head,index_5c_head,detune_carrier_head,feedback_head,lfo_rate_head,lfo_depth_cents_head,key_scaling_head,env_mod_attack_head,env_mod_decay_head,env_mod_sustain_head,env_mod_release_head,env_car_attack_head,env_car_decay_head,env_car_sustain_head,env_car_release_head
511,series3_parallel2,173.5204,0.5,0.2168,1.5835,2.3544,3.5481,2.3242,0.7752,0.3443,0.3298,19.2985,0.0094,0.0073,0.3011,0.223,0.6137,0.04,0.0831,0.7412,0.1821,3,-1.0,7.4389615,0.2168,1.5835,2.3544,3.5481,2.3242,0.7752,0.3443,0.3298,19.2985,0.0094,-7.097888,-1.7316854,0.223,-0.7043946,-4.643856,-3.5890079,0.7412,-2.4571972
937,series3,302.27,1.0,0.746,2.672,5.0834,2.0706,3.6933,-7.839,0.3088,8.8859,4.922,0.1863,0.002,0.0554,0.3531,0.2642,0.0399,0.0513,0.1843,0.0612,2,0.0,8.239694,0.746,2.672,5.0834,2.0706,3.6933,-7.839,0.3088,8.8859,4.922,0.1863,-8.965784,-4.17397,0.3531,-1.9202976,-4.6474676,-4.2848973,0.1843,-4.0303245
1134,series3_parallel2,314.3782,4.0,5.2314,1.3022,3.502,3.5849,3.1305,6.8946,0.1393,7.597,15.606,0.237,0.0038,0.3177,0.3647,0.0357,0.002,0.3786,0.2983,0.2081,3,2.0,8.296357,5.2314,1.3022,3.502,3.5849,3.1305,6.8946,0.1393,7.597,15.606,0.237,-8.039784,-1.654263,0.3647,-4.807932,-8.965784,-1.4012537,0.2983,-2.264651
1749,series3_parallel2,146.4562,0.6667,4.6004,1.6928,1.6182,3.3562,2.2889,11.7259,0.1463,5.7976,20.0592,0.6782,0.0041,0.169,0.4673,0.1619,0.0218,0.1267,0.9012,0.2337,3,-0.58489037,7.1943254,4.6004,1.6928,1.6182,3.3562,2.2889,11.7259,0.1463,5.7976,20.0592,0.6782,-7.9301605,-2.564905,0.4673,-2.626825,-5.519528,-2.9805117,0.9012,-2.0972703
668,series2x2_parallel1,104.1472,0.3333,5.0931,2.0534,3.7662,0.6564,4.14,-5.6591,0.1075,6.7078,9.8041,0.2912,0.0033,0.1624,0.8206,0.1194,0.1012,0.2939,0.745,0.1519,1,-1.5851068,6.7024803,5.0931,2.0534,3.7662,0.6564,4.14,-5.6591,0.1075,6.7078,9.8041,0.2912,-8.243319,-2.6223764,0.8206,-3.0661252,-3.3047187,-1.7666026,0.745,-2.7188063
245,series3_parallel2,113.469,0.1667,1.0174,1.6198,0.685,0.5759,1.5361,11.2846,0.3604,7.0803,11.972,0.1858,0.0249,0.3905,0.3185,0.1352,0.017,0.6099,0.6324,0.0661,3,-2.584674,6.826154,1.0174,1.6198,0.685,0.5759,1.5361,11.2846,0.3604,7.0803,11.972,0.1858,-5.3277106,-1.3566055,0.3185,-2.886833,-5.878321,-0.71335536,0.6324,-3.919206
1617,series3_parallel2,215.2799,0.125,1.0256,3.0518,3.9543,1.1698,1.6902,10.0764,0.0917,7.5233,12.3657,0.2982,0.0035,0.4876,0.489,0.4971,0.0026,0.0957,0.761,0.7175,3,-3.0,7.75007,1.0256,3.0518,3.9543,1.1698,1.6902,10.0764,0.0917,7.5233,12.3657,0.2982,-8.158429,-1.03623,0.489,-1.008392,-8.587273,-3.385337,0.761,-0.47894934
1629,series2x2_parallel1,204.2874,0.2,0.4518,1.558,2.6366,1.0481,0.4575,-2.9292,0.221,2.716,8.3139,0.4008,0.0292,0.0674,0.4208,0.1535,0.0847,0.1843,0.5876,0.4082,1,-2.321928,7.6744566,0.4518,1.558,2.6366,1.0481,0.4575,-2.9292,0.221,2.716,8.3139,0.4008,-5.097888,-3.8911076,0.4208,-2.7036893,-3.561494,-2.439872,0.5876,-1.2926519
513,series3_parallel2,167.9449,0.125,3.8987,0.4066,0.9507,1.7251,3.3511,-6.5943,0.1526,2.1412,14.4507,0.587,0.0044,0.0589,0.3107,0.2851,0.0012,0.4057,0.6255,0.0503,3,-3.0,7.3918443,3.8987,0.4066,0.9507,1.7251,3.3511,-6.5943,0.1526,2.1412,14.4507,0.587,-7.828281,-4.0855885,0.3107,-1.81046,-9.70275,-1.3015147,0.6255,-4.3132977
1364,series2x2_parallel1,148.9357,0.6667,0.371,0.56,0.5262,2.4139,1.5322,-3.561,0.2327,4.8125,11.6694,0.5016,0.0394,0.259,0.262,0.0751,0.0108,0.0546,0.7786,0.1384,1,-0.58489037,7.218546,0.371,0.56,0.5262,2.4139,1.5322,-3.561,0.2327,4.8125,11.6694,0.5016,-4.6656604,-1.9489759,0.262,-3.7350433,-6.532825,-4.1949553,0.7786,-2.853084
1042,series3_parallel2,94.5665,0.3333,3.9547,2.2314,3.1582,5.7747,5.4015,0.8256,0.121,0.463,0.1008,0.1074,0.0076,0.0329,0.3669,0.039,0.0039,0.0853,0.8009,0.2525,3,-1.5851068,6.563257,3.9547,2.2314,3.1582,5.7747,5.4015,0.8256,0.121,0.463,0.1008,0.1074,-7.039785,-4.9257684,0.3669,-4.6803823,-8.00231,-3.5513105,0.8009,-1.9856447
