id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx
3126,series3_parallel2,270.8964,1.0,3.8521,1.2131,1.2733,4.4063,1.7233,-11.6806,0.1523,6.0628,11.3989,0.0714,0.0412,0.2187,0.2777,0.1367,0.0248,0.1413,0.3252,0.0726,3
648,series3,517.0307,0.1667,2.6936,2.4931,1.0968,2.9747,4.6441,-10.9707,0.2053,7.0369,20.1885,0.3367,0.0021,0.1302,0.3491,0.1467,0.0213,0.365,0.6393,0.2588,2
414,series3,464.7025,1.5,0.8521,0.1908,2.7813,0.3758,1.3393,-11.7679,0.3465,5.8334,1.5305,0.695,0.0077,0.2541,0.7122,0.3034,0.0017,0.1368,0.9037,0.1403,2
1096,series2x2_parallel1,332.612,1.5,1.7787,0.8818,3.6158,2.7336,4.0368,8.4007,0.0826,4.2577,8.9925,0.1655,0.0639,0.1183,0.3619,0.6315,0.0358,0.3114,0.612,0.5088,1
1098,series2x2_parallel1,156.5802,0.2,5.113,3.5221,4.0224,1.8911,1.2404,-11.8623,0.434,2.6976,11.9067,0.1238,0.0063,0.2664,0.4515,0.1826,0.0462,0.198,0.5831,0.3482,1
3554,parallel5,355.8715,0.5,0.5426,3.4585,5.0502,1.3337,0.5643,10.5562,0.0739,7.4359,7.7362,0.2053,0.0284,0.5022,0.2473,0.4281,0.0047,0.5594,0.6225,0.6837,0
2304,parallel5,516.9387,0.6667,3.1259,2.8153,1.6244,3.7836,4.7966,1.3135,0.3033,2.3687,17.6537,0.4573,0.0121,0.1602,0.66,0.0355,0.0011,0.1625,0.2944,0.1432,0
2673,series3,672.5049,0.1667,0.924,2.36,1.2715,0.5995,1.168,1.6301,0.237,5.8459,6.9655,0.3929,0.0079,0.0456,0.4903,0.1709,0.0043,0.4143,0.2853,0.1303,2
1785,series2x2_parallel1,126.3031,0.3333,2.8912,3.2213,1.2551,4.9204,1.2683,0.6901,0.1635,6.3023,13.4605,0.6778,0.0047,0.2445,0.8572,0.0685,0.022,0.0568,0.1903,0.0741,1
357,series3_parallel2,136.1675,1.0,0.7055,0.404,2.0545,1.069,0.6125,-6.7651,0.2253,2.1412,11.299,0.1467,0.0204,0.2181,0.4064,0.1964,0.0034,0.0537,0.3153,0.1273,3
785,parallel5,123.8685,0.125,0.5275,2.9799,1.4015,4.7185,2.2621,7.1198,0.1747,8.0267,20.4373,0.5775,0.0027,0.1452,0.6269,0.0897,0.0044,0.2028,0.1906,0.11,0
3232,series3,69.4426,0.5,2.8725,1.3933,4.497,4.3486,3.426,8.9036,0.0841,6.317,20.5323,0.3705,0.0611,0.0443,0.6613,0.442,0.0053,0.5755,0.6857,0.6439,2
2204,parallel5,178.5445,3.0,0.241,5.8196,0.2673,0.2307,0.6408,-10.1695,0.1664,0.2773,8.7181,0.4901,0.0027,0.0394,0.3486,0.0203,0.0014,0.4049,0.7825,0.0498,0
3157,parallel5,66.7977,2.0,2.6054,1.1469,0.6193,4.4814,0.893,4.0282,0.0569,4.0527,20.6002,0.5154,0.0051,0.0836,0.4511,0.0326,0.0107,0.4683,0.1375,0.4915,0
2592,parallel5,101.1718,0.25,2.1595,3.0802,1.2143,0.9752,0.5575,-3.4011,0.1407,8.6548,21.5651,0.4065,0.0206,0.3043,0.2119,0.0334,0.0468,0.1142,0.127,0.0997,0
3410,series3,706.971,0.5,2.2348,0.8382,1.1421,0.527,0.6849,4.0438,0.4498,2.4373,12.1862,0.4559,0.0462,0.2619,0.4277,0.3167,0.0221,0.6493,0.2998,0.0313,2
1569,parallel5,689.6132,0.25,1.452,2.1965,4.2042,0.1661,1.0159,-6.2758,0.0748,0.4788,18.8457,0.1456,0.01,0.4032,0.8006,0.0958,0.0899,0.1233,0.8485,0.1413,0
2017,series2x2_parallel1,646.9309,3.0,1.7593,3.064,3.9224,3.2236,0.5935,-3.5492,0.2655,4.9547,0.2531,0.0217,0.0091,0.442,0.383,0.2263,0.0046,0.2658,0.2905,0.2359,1
4037,series3_parallel2,752.2866,3.0,1.6043,2.7228,0.9727,2.1514,1.9255,-8.8319,0.0466,3.1305,14.8443,0.7904,0.0151,0.033,0.389,0.1655,0.0699,0.1104,0.8873,0.2594,3
2624,parallel5,186.0641,1.5,5.8178,0.1937,3.3509,2.3991,2.7166,1.1622,0.1023,1.6811,14.0035,0.4228,0.0025,0.5407,0.5293,0.2063,0.0015,0.1574,0.6765,0.0429,0
879,series3_parallel2,130.5272,0.5,5.9828,2.5294,2.3319,3.8333,1.429,-3.2762,0.2553,2.5729,3.4495,0.6464,0.0435,0.214,0.7558,0.051,0.0119,0.2531,0.8496,0.0594,3
1078,series3,345.3772,4.0,2.2564,3.9068,1.8418,1.3423,1.5639,10.4412,0.2484,5.6242,10.8875,0.2343,0.006,0.0563,0.6403,0.3936,0.0997,0.5887,0.7088,0.1264,2
3384,series3_parallel2,315.9348,0.3333,3.9542,3.2507,1.1725,1.7735,3.2683,-8.5137,0.0475,2.5098,4.3996,0.549,0.0226,0.5049,0.3355,0.1934,0.0456,0.5274,0.4738,0.0603,3
