id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,ratio_log2_head,freq_log2_head,detune_carrier_head
3967,parallel5,255.1993,0.6667,1.979,4.6441,2.8528,0.8145,0.9279,4.69,0.14,6.5868,20.764,0.3911,0.002,0.4795,0.8584,0.2487,0.0011,0.5983,0.6427,0.0815,0,-0.58489037,7.9954805,4.69
2411,series2x2_parallel1,65.5693,2.0,0.3001,3.044,1.8931,0.7903,3.0241,4.1408,0.1718,7.1959,10.045,0.7355,0.0622,0.3952,0.4766,0.3944,0.0027,0.0875,0.589,0.0691,1,1.0,6.0349483,4.1408
72,parallel5,259.6936,0.2,0.7084,0.844,1.042,5.5649,1.5357,-8.4289,0.3577,4.0676,20.8159,0.1062,0.0211,0.0697,0.8535,0.0745,0.0109,0.3885,0.5621,0.1295,0,-2.321928,8.020667,-8.4289
1270,series3,122.6123,0.1667,0.989,2.1622,0.4337,1.5318,2.2404,0.438,0.3201,1.9465,6.0119,0.2725,0.0054,0.2698,0.353,0.0288,0.0113,0.1023,0.4739,0.1063,2,-2.584674,6.9379597,0.438
1008,series3,533.4604,0.25,0.1999,0.9204,0.5705,0.49,1.6487,-5.8231,0.3917,5.9842,4.8218,0.5981,0.008,0.4534,0.6135,0.1045,0.0051,0.3504,0.4203,0.0964,2,-2.0,9.0592375,-5.8231
2305,series2x2_parallel1,176.4457,0.3333,3.3308,1.0205,1.0865,1.235,5.2746,8.6339,0.3852,7.7962,1.8948,0.4977,0.0037,0.0887,0.7275,0.0813,0.0171,0.124,0.3474,0.0416,1,-1.5851068,7.4630804,8.6339
3158,series2x2_parallel1,333.1297,2.0,3.4659,1.5981,2.1867,1.7847,4.8352,-1.2452,0.0052,4.747,9.2941,0.0369,0.0024,0.4536,0.3497,0.4578,0.0666,0.2247,0.4145,0.0621,1,1.0,8.37994,-1.2452
41,series2x2_parallel1,386.9984,1.0,4.2462,1.6536,3.5669,0.7082,3.7487,-4.2667,0.0707,6.6607,10.4776,0.3922,0.0285,0.344,0.1879,0.1142,0.0629,0.0977,0.5876,0.7276,1,0.0,8.596184,-4.2667
2220,series3_parallel2,249.4159,0.1667,3.0525,0.3231,2.3935,4.7987,1.784,-0.4982,0.0987,4.3498,6.3537,0.5384,0.0224,0.1067,0.7098,0.0201,0.0338,0.1774,0.4728,0.5094,3,-2.584674,7.9624095,-0.4982
3311,series2x2_parallel1,340.5264,1.5,2.8177,1.8594,2.0942,4.983,4.2781,-11.2484,0.0554,1.1586,3.716,0.2514,0.0152,0.0665,0.2633,0.5285,0.0439,0.094,0.8155,0.4376,1,0.5849625,8.411623,-11.2484
1404,series3_parallel2,314.9058,3.0,1.0486,1.5452,2.7308,3.8769,2.0101,11.782,0.254,0.4149,13.9187,0.7274,0.004,0.2408,0.5661,0.0207,0.0091,0.4839,0.2759,0.0861,3,1.5849625,8.298777,11.782
650,parallel5,193.4742,0.2,1.358,1.0582,0.6391,3.0272,0.4808,4.7181,0.3519,1.4846,20.7236,0.6618,0.0042,0.0537,0.4883,0.5562,0.0093,0.112,0.3772,0.0731,0,-2.321928,7.5959973,4.7181
2136,series2x2_parallel1,528.5484,0.2,1.5259,3.3668,3.2512,1.6151,1.1674,-10.4025,0.1616,1.0428,4.598,0.3776,0.0251,0.3267,0.3264,0.3547,0.0211,0.2073,0.2364,0.0451,1,-2.321928,9.045892,-10.4025
3836,series3_parallel2,280.0193,0.3333,5.5696,5.9248,1.0495,1.3382,2.6386,-6.7152,0.0867,2.1177,4.4685,0.628,0.0032,0.0585,0.7586,0.049,0.0016,0.1855,0.6535,0.3915,3,-1.5851068,8.129382,-6.7152
1106,parallel5,101.1976,3.0,0.2494,1.6741,0.307,5.8084,4.7822,7.3274,0.4292,1.163,10.4022,0.6761,0.0259,0.1182,0.7159,0.0279,0.0439,0.3029,0.8863,0.1713,0,1.5849625,6.6610312,7.3274
2738,parallel5,587.2633,0.3333,0.8174,4.0905,2.2084,2.3463,2.8374,-1.4668,0.205,1.9156,4.6311,0.1509,0.0058,0.0497,0.2595,0.076,0.008,0.3454,0.6027,0.2568,0,-1.5851068,9.197864,-1.4668
747,series2x2_parallel1,105.7721,0.25,2.7036,2.926,2.1227,4.1538,3.3149,-5.2492,0.3866,7.5615,5.842,0.7345,0.0761,0.0625,0.8033,0.6127,0.011,0.1163,0.189,0.3163,1,-2.0,6.7248154,-5.2492
717,series3,340.8737,0.2,4.0521,0.4549,3.7851,3.6965,1.5867,-2.6862,0.1789,4.2782,7.5395,0.2867,0.0261,0.2793,0.4667,0.1469,0.0223,0.4885,0.7648,0.1464,2,-2.321928,8.413094,-2.6862
2648,series3_parallel2,307.5457,0.3333,3.1613,2.5954,1.2925,1.23,2.7712,-7.3941,0.0585,7.8918,6.7861,0.0442,0.0046,0.0355,0.3143,0.399,0.1186,0.1294,0.2401,0.3903,3,-1.5851068,8.264657,-7.3941
4070,series3_parallel2,569.0278,0.6667,1.5463,5.5179,1.1876,0.4062,2.2883,-3.7503,0.3829,0.1705,17.2941,0.2379,0.0589,0.2259,0.8629,0.0211,0.0816,0.4174,0.3865,0.0672,3,-0.58489037,9.152355,-3.7503
3948,series2x2_parallel1,663.8486,4.0,3.1523,1.2338,0.5642,2.6615,1.7639,-7.1506,0.1572,3.332,3.308,0.5186,0.0192,0.0407,0.3871,0.0234,0.0227,0.1111,0.364,0.4428,1,2.0,9.37471,-7.1506
2049,parallel5,255.688,2.0,3.5205,0.914,5.5515,3.566,0.9679,4.3529,0.2901,8.5688,19.3167,0.0925,0.0047,0.2567,0.2259,0.03,0.0019,0.0459,0.2708,0.0534,0,1.0,7.9982405,4.3529
265,series3_parallel2,586.3908,0.2,2.7014,5.0825,1.24,2.1256,4.0975,9.4951,0.1838,8.6792,3.5989,0.4806,0.0082,0.1421,0.4839,0.0573,0.001,0.1555,0.5746,0.0362,3,-2.321928,9.195719,9.4951
4050,parallel5,126.5322,1.0,2.886,3.6324,1.1061,4.0566,2.777,-4.4962,0.402,4.7629,12.2349,0.1903,0.0673,0.1583,0.7767,0.1592,0.0517,0.3288,0.6081,0.0927,0,0.0,6.983361,-4.4962
3256,series2x2_parallel1,332.2175,1.0,0.9525,1.8731,0.8388,4.3013,4.2254,5.013,0.2534,6.3741,16.9777,0.3654,0.0687,0.4994,0.2333,0.2883,0.0019,0.169,0.7525,0.0329,1,0.0,8.375984,5.013
1502,series3,348.7341,3.0,3.8804,1.5783,1.7603,3.0623,3.1594,0.3073,0.1668,3.1755,18.5533,0.6625,0.0046,0.0637,0.6932,0.171,0.0085,0.3821,0.2357,0.1287,2,1.5849625,8.445984,0.3073
3253,parallel5,811.8564,0.25,1.1651,3.1564,3.3616,3.5034,2.0261,4.0734,0.0303,3.3269,0.4755,0.5772,0.0352,0.0703,0.5527,0.0208,0.0323,0.0567,0.6668,0.3761,0,-2.0,9.665081,4.0734
774,series2x2_parallel1,149.2061,1.0,1.1411,3.8772,3.4551,0.4267,0.6509,11.5388,0.2993,0.6877,6.4445,0.1209,0.0056,0.5451,0.4139,0.0854,0.0038,0.3019,0.5148,0.1352,1,0.0,7.221163,11.5388
1779,series2x2_parallel1,145.4065,0.5,1.4812,0.4562,4.0824,3.8874,1.7995,3.3653,0.0815,0.9508,9.717,0.1295,0.0716,0.1208,0.5586,0.3844,0.0047,0.055,0.7933,0.1219,1,-1.0,7.183948,3.3653
1192,series2x2_parallel1,269.8489,0.1667,2.6643,3.604,0.5162,3.3758,3.6561,-3.4079,0.0533,0.1274,8.6512,0.0582,0.0048,0.1586,0.3805,0.2154,0.0159,0.3802,0.3757,0.0671,1,-2.584674,8.076008,-3.4079
3764,series3_parallel2,137.4522,0.1667,0.9557,1.6648,0.2364,0.988,0.7386,-4.971,0.4217,3.3627,3.6456,0.0961,0.0048,0.0505,0.7607,0.0768,0.0243,0.4595,0.834,0.2867,3,-2.584674,7.102786,-4.971
2428,parallel5,305.7407,0.6667,2.9362,1.844,1.0013,4.9489,1.9393,6.6167,0.3652,3.906,10.0964,0.5769,0.0251,0.2309,0.3359,0.2424,0.0095,0.0412,0.6849,0.0703,0,-0.58489037,8.256165,6.6167
3692,series3,161.5025,1.5,1.9875,0.8779,0.5833,2.0279,2.2847,-0.573,0.1704,4.5065,11.8453,0.2406,0.0149,0.2295,0.481,0.3473,0.0476,0.0581,0.9085,0.3978,2,0.5849625,7.3354125,-0.573
3041,series3,466.3768,2.0,1.4567,0.8682,3.8364,1.1553,2.6202,-9.6099,0.3651,0.405,0.582,0.2328,0.0033,0.1027,0.3864,0.1944,0.1155,0.2442,0.2094,0.2154,2,1.0,8.865353,-9.6099
3612,series2x2_parallel1,141.1923,0.3333,2.5889,3.4071,1.0876,1.2656,2.4566,-2.3409,0.2981,1.2342,0.0896,0.2253,0.0032,0.0967,0.6592,0.407,0.003,0.5835,0.6601,0.5684,1,-1.5851068,7.1415176,-2.3409
773,series3,425.4297,0.125,2.3842,5.7489,2.191,3.385,4.772,-3.5902,0.022,4.4893,14.3006,0.1337,0.0449,0.2424,0.5491,0.0229,0.0231,0.0549,0.3754,0.3369,2,-3.0,8.732777,-3.5902
1490,parallel5,802.5614,3.0,1.4819,1.6107,2.6399,1.1083,0.1812,2.8121,0.0041,5.6901,19.568,0.624,0.0181,0.0496,0.2589,0.1842,0.0013,0.4428,0.6633,0.2082,0,1.5849625,9.648468,2.8121
920,series3_parallel2,460.6678,0.1667,3.756,2.0737,0.4654,1.6081,5.1058,4.1403,0.2264,6.7273,7.7069,0.1149,0.0137,0.2992,0.2623,0.0327,0.0014,0.3114,0.6822,0.0516,3,-2.584674,8.847583,4.1403
1826,series2x2_parallel1,326.4971,3.0,3.5842,0.6011,2.947,1.6952,3.0055,-3.351,0.4389,0.5102,8.8736,0.6295,0.0625,0.0718,0.8187,0.4835,0.0095,0.0518,0.5588,0.0447,1,1.5849625,8.350926,-3.351
1405,parallel5,198.3196,0.1667,1.081,3.6251,1.1241,1.9191,2.0992,10.9466,0.2186,6.4999,21.8257,0.2136,0.0022,0.5124,0.3551,0.0287,0.0279,0.4465,0.6245,0.0368,0,-2.584674,7.6316833,10.9466
2690,series3_parallel2,89.7756,0.1667,1.7572,1.754,3.4677,1.023,2.1705,-4.741,0.4436,0.9618,3.1073,0.2606,0.0177,0.4797,0.2271,0.0345,0.0475,0.0423,0.7988,0.1374,3,-2.584674,6.488251,-4.741
1260,series3_parallel2,129.851,0.3333,2.0327,4.0769,1.3491,3.1449,2.3446,11.6848,0.2064,6.201,20.614,0.2218,0.0033,0.4601,0.8334,0.1338,0.0037,0.0846,0.6679,0.7437,3,-1.5851068,7.0207133,11.6848
3436,series3_parallel2,67.8974,3.0,2.3057,2.9741,0.1878,2.2571,1.0607,-5.6259,0.0151,2.9402,10.28,0.7329,0.0346,0.0793,0.5355,0.5106,0.0185,0.06,0.7484,0.7383,3,1.5849625,6.085284,-5.6259
488,series3_parallel2,218.4864,0.25,1.0751,0.7991,1.0652,1.4915,0.6108,0.0749,0.3502,1.974,17.1291,0.4409,0.0535,0.2838,0.6897,0.2239,0.0226,0.4312,0.3284,0.1917,3,-2.0,7.7713995,0.0749
813,series3,111.6607,0.1667,3.3377,3.4424,3.9339,3.9202,1.6583,-1.5569,0.4349,6.6711,13.3476,0.5792,0.0021,0.0528,0.2681,0.0739,0.0724,0.0494,0.7922,0.4725,2,-2.584674,6.8029776,-1.5569
2613,series3_parallel2,156.5639,0.6667,0.2171,3.7871,0.2727,3.8025,2.0174,-2.7023,0.1848,0.205,21.5976,0.022,0.004,0.1203,0.5595,0.065,0.0767,0.0495,0.4332,0.1004,3,-0.58489037,7.290608,-2.7023
1509,parallel5,381.7506,0.25,3.4129,4.0055,0.8067,4.7926,1.2972,2.0701,0.2448,1.9946,12.5945,0.4899,0.0029,0.0571,0.2466,0.5727,0.005,0.1004,0.1276,0.0506,0,-2.0,8.576487,2.0701
193,series2x2_parallel1,133.4347,1.0,2.1477,3.6491,2.9217,4.6789,1.3287,-4.3953,0.4066,3.716,1.864,0.1209,0.0438,0.3316,0.4978,0.2911,0.0021,0.0557,0.677,0.2852,1,0.0,7.05999,-4.3953
1925,parallel5,470.6526,2.0,1.7656,0.4657,1.6549,5.82,2.3339,-2.833,0.1533,3.8066,15.9728,0.4226,0.0164,0.3682,0.3104,0.4558,0.0483,0.0603,0.6353,0.0636,0,1.0,8.878519,-2.833
2894,series3,334.3373,3.0,0.4333,3.9017,0.3685,4.2553,1.6457,-7.2165,0.03,3.5767,0.2971,0.6063,0.044,0.1074,0.2946,0.1941,0.0835,0.4543,0.1333,0.0554,2,1.5849625,8.38516,-7.2165
2165,parallel5,193.6217,1.0,3.3946,1.9495,1.0069,3.9822,1.8609,1.1827,0.2239,2.9474,11.5504,0.3948,0.0039,0.5214,0.714,0.0598,0.003,0.2338,0.4051,0.359,0,0.0,7.597097,1.1827
3540,parallel5,78.9591,1.0,0.2772,1.6085,4.1446,1.1262,0.1667,6.9222,0.2857,2.4942,12.2964,0.6631,0.0042,0.0561,0.8436,0.1818,0.1073,0.2978,0.2504,0.0597,0,0.0,6.303034,6.9222
3367,series3_parallel2,563.3039,0.125,2.6227,2.0555,0.2902,1.7514,1.1411,-2.6347,0.4056,8.0098,11.0825,0.35,0.0032,0.0507,0.5283,0.142,0.0013,0.4084,0.486,0.6888,3,-3.0,9.13777,-2.6347
2714,series2x2_parallel1,190.0775,0.1667,0.2791,3.5632,4.7797,0.9781,2.8505,3.8087,0.1049,7.1409,11.3553,0.6558,0.0023,0.3825,0.5963,0.4998,0.0025,0.1331,0.9025,0.5332,1,-2.584674,7.570444,3.8087
3665,series3,88.7833,2.0,1.1003,0.583,1.7733,4.1526,4.181,3.6709,0.1021,3.2253,12.7976,0.4663,0.0331,0.069,0.5418,0.1139,0.1098,0.4751,0.2401,0.0436,2,1.0,6.4722166,3.6709
3209,series3_parallel2,165.03,2.0,1.6877,1.6417,4.0911,3.762,1.9266,-6.5192,0.3026,8.256,10.945,0.4501,0.0063,0.035,0.2408,0.2652,0.0016,0.4707,0.6881,0.1376,3,1.0,7.3665843,-6.5192
1903,series3,194.8403,0.25,2.1477,3.7494,5.4266,2.5612,1.6213,-3.9549,0.4446,5.0874,0.4648,0.5789,0.0024,0.0335,0.755,0.116,0.0036,0.267,0.3517,0.2814,2,-2.0,7.6061482,-3.9549
983,series3,187.9221,1.0,2.1307,2.3797,1.5929,1.5468,0.2801,11.781,0.0827,7.0699,13.8733,0.7308,0.0411,0.4655,0.2181,0.2709,0.118,0.0831,0.7973,0.3533,2,0.0,7.553991,11.781
2070,series3,143.5827,1.5,0.5125,0.4034,4.6909,0.4458,0.5997,-6.2841,0.0259,2.7339,17.5827,0.7719,0.0132,0.0528,0.7802,0.3872,0.0096,0.0797,0.8021,0.0531,2,0.5849625,7.165738,-6.2841
1549,series3_parallel2,205.0724,0.5,0.4376,3.984,2.5222,3.9018,4.4242,-5.8912,0.4393,5.779,2.147,0.6016,0.0103,0.0887,0.7835,0.5365,0.0106,0.0913,0.6826,0.266,3,-1.0,7.6799893,-5.8912
2696,series3,108.0245,3.0,2.695,3.7798,1.2089,0.6197,4.5257,2.7087,0.1502,2.3296,6.7347,0.1181,0.0611,0.0794,0.5297,0.0229,0.0428,0.2735,0.3776,0.1196,2,1.5849625,6.7552147,2.7087
1857,series3,789.7545,0.2,4.0418,0.8748,1.348,3.1391,2.083,11.1423,0.1052,8.7135,18.7364,0.2987,0.0202,0.0929,0.5703,0.2244,0.0032,0.0806,0.2352,0.2294,2,-2.321928,9.62526,11.1423
2244,series3,388.5142,4.0,3.0731,0.3534,4.3661,1.0709,1.0875,-4.155,0.2717,8.4433,12.3687,0.1085,0.0063,0.1288,0.6673,0.5112,0.0841,0.3625,0.667,0.0634,2,2.0,8.601824,-4.155
1,series2x2_parallel1,503.6638,4.0,3.006,0.8254,3.1239,0.5356,5.9296,-3.4676,0.057,2.8554,10.0797,0.5633,0.0146,0.177,0.8397,0.0612,0.0347,0.5235,0.2219,0.0391,1,2.0,8.976317,-3.4676
1371,series3,649.7103,0.1667,1.5111,3.6407,4.338,4.0567,2.0378,-6.2706,0.4201,5.4799,15.035,0.3115,0.0024,0.34,0.6208,0.0312,0.025,0.2659,0.3898,0.155,2,-2.584674,9.343653,-6.2706
