id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,index_12_head,index_23_head,index_3c_head,index_4c_head,index_5c_head,feedback_head,lfo_rate_head,lfo_depth_cents_head,key_scaling_head,env_mod_attack_head,env_mod_decay_head,env_mod_sustain_head,env_mod_release_head,env_car_attack_head,env_car_decay_head,env_car_sustain_head,env_car_release_head,ratio_log2_head,freq_log2_head,detune_carrier_head
1254,series3,140.9115,4.0,1.7683,0.6174,4.6781,4.7421,3.2207,6.2083,0.2871,2.0328,12.4842,0.4128,0.0422,0.1502,0.4058,0.04,0.0052,0.3706,0.2731,0.1306,2,1.7683,0.6174,4.6781,4.7421,3.2207,0.2871,2.0328,12.4842,0.4128,-4.566613,-2.7350433,0.4058,-4.643856,-7.5872726,-1.4320652,0.2731,-2.936773,2.0,7.1386456,6.2083
2698,series3_parallel2,87.4072,4.0,0.2265,2.8945,2.8776,0.4286,3.9763,-9.7676,0.1119,1.6311,17.5768,0.0602,0.0043,0.298,0.2889,0.1144,0.012,0.1281,0.1306,0.0703,3,0.2265,2.8945,2.8776,0.4286,3.9763,0.1119,1.6311,17.5768,0.0602,-7.861448,-1.7466158,0.2889,-3.127841,-6.3808217,-2.9646578,0.1306,-3.8303316,2.0,6.4496803,-9.7676
3138,parallel5,154.9973,0.1667,4.7228,5.1167,1.2344,3.3259,0.4183,7.7164,0.0892,2.0266,16.2422,0.4903,0.0109,0.1737,0.5398,0.3236,0.036,0.1868,0.5198,0.0386,0,4.7228,5.1167,1.2344,3.3259,0.4183,0.0892,2.0266,16.2422,0.4903,-6.519528,-2.5253303,0.5398,-1.6277165,-4.7958593,-2.4204335,0.5198,-4.6952553,-2.584674,7.276099,7.7164
3322,parallel5,646.9786,2.0,4.0286,5.3404,2.297,5.8979,0.2393,7.5328,0.22,6.909,16.8588,0.3062,0.0498,0.0455,0.1955,0.0402,0.0026,0.1229,0.3152,0.1448,0,4.0286,5.3404,2.297,5.8979,0.2393,0.22,6.909,16.8588,0.3062,-4.3277106,-4.4579897,0.1955,-4.6366606,-8.587273,-3.0244431,0.3152,-2.7878664,1.0,9.337574,7.5328
4095,series3,655.3633,0.3333,4.734,1.4847,4.7386,2.6273,3.8972,-6.5903,0.1808,3.167,9.84,0.564,0.0027,0.2494,0.8265,0.0368,0.01,0.2911,0.3625,0.2166,2,4.734,1.4847,4.7386,2.6273,3.8972,0.1808,3.167,9.84,0.564,-8.5328245,-2.0034666,0.8265,-4.7641506,-6.643856,-1.7804133,0.3625,-2.2068949,-1.5851068,9.356151,-6.5903
1874,parallel5,196.1209,0.25,1.4908,2.7786,1.239,2.2015,2.4812,2.7901,0.3923,3.5772,3.6756,0.6522,0.0608,0.1108,0.3458,0.023,0.0031,0.2511,0.3246,0.0991,0,1.4908,2.7786,1.239,2.2015,2.4812,0.3923,3.5772,3.6756,0.6522,-4.039785,-3.1739702,0.3458,-5.442222,-8.333516,-1.993666,0.3246,-3.3349712,-2.0,7.6155996,2.7901
483,series3_parallel2,285.433,1.5,1.5583,2.9172,1.1268,1.8353,3.6338,-4.4765,0.3574,3.5314,18.3537,0.707,0.0024,0.0469,0.8442,0.2859,0.0052,0.3379,0.4939,0.4365,3,1.5583,2.9172,1.1268,1.8353,3.6338,0.3574,3.5314,18.3537,0.707,-8.70275,-4.4142685,0.8442,-1.8064175,-7.5872726,-1.5653317,0.4939,-1.1959465,0.5849625,8.157008,-4.4765
3240,series3_parallel2,72.857,0.6667,3.42,2.6624,2.8137,1.3158,4.8911,-11.13,0.3801,4.0048,6.5664,0.7466,0.0248,0.0304,0.494,0.0843,0.0688,0.1887,0.1252,0.0424,3,3.42,2.6624,2.8137,1.3158,4.8911,0.3801,4.0048,6.5664,0.7466,-5.333516,-5.039785,0.494,-3.5683236,-3.8614476,-2.4058337,0.1252,-4.559792,-0.58489037,6.1869955,-11.13
2904,series3,330.2662,0.5,0.4925,2.9272,0.877,1.2086,1.5619,1.2319,0.3308,3.1534,12.67,0.3936,0.0266,0.4137,0.5293,0.0237,0.0032,0.5795,0.5963,0.0621,2,0.4925,2.9272,0.877,1.2086,1.5619,0.3308,3.1534,12.67,0.3936,-5.23243,-1.2733431,0.5293,-5.398969,-8.287712,-0.7871194,0.5963,-4.009263,-1.0,8.367486,1.2319
3670,series3_parallel2,619.6569,3.0,3.2904,3.56,0.3962,1.1968,3.7255,-4.4017,0.2514,1.2453,16.0055,0.2244,0.0165,0.0852,0.468,0.1436,0.0198,0.0484,0.734,0.2405,3,3.2904,3.56,0.3962,1.1968,3.7255,0.2514,1.2453,16.0055,0.2244,-5.92139,-3.5530028,0.468,-2.7998724,-5.6583557,-4.3688493,0.734,-2.0558913,1.5849625,9.275326,-4.4017
29,series3,853.1165,0.2,1.4327,3.9687,0.9816,2.2096,1.9528,-3.9002,0.1423,1.6712,14.0209,0.4914,0.0047,0.1246,0.5946,0.06,0.078,0.5381,0.6926,0.6101,2,1.4327,3.9687,0.9816,2.2096,1.9528,0.1423,1.6712,14.0209,0.4914,-7.733124,-3.0046241,0.5946,-4.0588937,-3.680382,-0.89405376,0.6926,-0.71288246,-2.321928,9.736599,-3.9002
2401,series3_parallel2,653.3981,1.0,0.447,1.2256,5.7025,3.4227,0.4968,11.611,0.1437,0.8948,20.6491,0.4703,0.0047,0.0867,0.5324,0.074,0.0186,0.0916,0.9061,0.0418,3,0.447,1.2256,5.7025,3.4227,0.4968,0.1437,0.8948,20.6491,0.4703,-7.733124,-3.5278242,0.5324,-3.756331,-5.7485538,-3.4485085,0.9061,-4.5803533,0.0,9.351818,11.611
1501,series3,136.9174,0.5,1.4051,3.096,5.3248,1.0487,2.4057,-7.042,0.1284,0.7927,21.092,0.3032,0.0025,0.1083,0.4128,0.0724,0.0815,0.0434,0.3298,0.3857,2,1.4051,3.096,5.3248,1.0487,2.4057,0.1284,0.7927,21.092,0.3032,-8.643856,-3.2068949,0.4128,-3.7878664,-3.6170561,-4.526161,0.3298,-1.374449,-1.0,7.0971622,-7.042
1635,parallel5,108.7077,0.6667,2.7392,1.2326,2.4722,3.8915,3.5068,11.0734,0.0024,6.9011,20.2717,0.7075,0.0027,0.0456,0.6999,0.5055,0.0141,0.0446,0.208,0.0631,0,2.7392,1.2326,2.4722,3.8915,3.5068,0.0024,6.9011,20.2717,0.7075,-8.5328245,-4.4548225,0.6999,-0.9842169,-6.148161,-4.4868126,0.208,-3.986216,-0.58489037,6.7643104,11.0734
2878,series2x2_parallel1,74.9625,0.1667,5.9045,0.7599,1.2549,3.1882,3.8477,-9.4376,0.2012,5.7984,11.9089,0.6521,0.0076,0.2995,0.4321,0.3608,0.0668,0.081,0.3446,0.0543,1,5.9045,0.7599,1.2549,3.1882,3.8477,0.2012,5.7984,11.9089,0.6521,-7.039785,-1.7393721,0.4321,-1.4707288,-3.9040082,-3.6259344,0.3446,-4.202904,-2.584674,6.228097,-9.4376
1548,series3_parallel2,353.2544,0.1667,1.8919,4.4257,1.1184,2.8337,3.7923,2.7315,0.1664,5.1334,9.2748,0.6007,0.0782,0.1881,0.783,0.5994,0.0671,0.0983,0.2775,0.1271,3,1.8919,4.4257,1.1184,2.8337,3.7923,0.1664,5.1334,9.2748,0.6007,-3.6766877,-2.4104283,0.783,-0.73840904,-3.8975434,-3.3466647,0.2775,-2.975964,-2.584674,8.464563,2.7315
957,series3,337.8487,0.6667,3.4021,3.5774,2.5035,2.8828,1.5256,2.6609,0.1699,2.0907,20.1091,0.2212,0.0036,0.0901,0.7894,0.2898,0.066,0.0469,0.3653,0.1789,2,3.4021,3.5774,2.5035,2.8828,1.5256,0.1699,2.0907,20.1091,0.2212,-8.117787,-3.4723291,0.7894,-1.7868706,-3.92139,-4.4142685,0.3653,-2.4827747,-0.58489037,8.400233,2.6609
