epoch,env_car_attack_head_loss,env_car_attack_head_mae,env_car_decay_head_loss,env_car_decay_head_mae,env_car_release_head_loss,env_car_release_head_mae,env_car_sustain_head_loss,env_car_sustain_head_mae,env_mod_attack_head_loss,env_mod_attack_head_mae,env_mod_decay_head_loss,env_mod_decay_head_mae,env_mod_release_head_loss,env_mod_release_head_mae,env_mod_sustain_head_loss,env_mod_sustain_head_mae,loss,val_env_car_attack_head_loss,val_env_car_attack_head_mae,val_env_car_decay_head_loss,val_env_car_decay_head_mae,val_env_car_release_head_loss,val_env_car_release_head_mae,val_env_car_sustain_head_loss,val_env_car_sustain_head_mae,val_env_mod_attack_head_loss,val_env_mod_attack_head_mae,val_env_mod_decay_head_loss,val_env_mod_decay_head_mae,val_env_mod_release_head_loss,val_env_mod_release_head_mae,val_env_mod_sustain_head_loss,val_env_mod_sustain_head_mae,val_loss,learning_rate
0,0.2781936228275299,0.6213343739509583,0.44549378752708435,0.8392037749290466,0.1409364491701126,0.4036746025085449,0.42593738436698914,0.8146167397499084,0.3121652901172638,0.6666138172149658,0.3785380721092224,0.7464082837104797,0.1648133546113968,0.440495103597641,0.370758593082428,0.7436314821243286,1.556276559829712,0.17787377536296844,0.4694996774196625,0.40867695212364197,0.7967138886451721,0.029611175879836082,0.18152250349521637,0.33429163694381714,0.7081434726715088,0.1799541562795639,0.4803144931793213,0.2084038257598877,0.5111478567123413,0.04853682965040207,0.2436477690935135,0.24520929157733917,0.5772424936294556,1.0032135248184204,0.00019999999494757503
1,0.19904311001300812,0.5145887136459351,0.31891700625419617,0.6722325682640076,0.05258012190461159,0.25413691997528076,0.3154526352882385,0.6740599274635315,0.1945592164993286,0.5046077370643616,0.17026549577713013,0.4529295563697815,0.060030724853277206,0.26731958985328674,0.23319971561431885,0.5588619112968445,0.94876629114151,0.16739173233509064,0.4638679623603821,0.2512640655040741,0.571805477142334,0.019509507343173027,0.1518247127532959,0.24695704877376556,0.5878441333770752,0.15840943157672882,0.4454866945743561,0.12443047016859055,0.35626229643821716,0.025049181655049324,0.16462096571922302,0.17332565784454346,0.4622284471988678,0.7160913348197937,0.00019999999494757503
2,0.18547561764717102,0.4929930567741394,0.2376779466867447,0.5522478818893433,0.04306885972619057,0.22919751703739166,0.2238306999206543,0.5457801222801208,0.176116943359375,0.47451797127723694,0.12542390823364258,0.3767443597316742,0.0483357235789299,0.23918481171131134,0.19339077174663544,0.5014586448669434,0.7599344849586487,0.15591762959957123,0.4440127909183502,0.18893709778785706,0.4677151143550873,0.017214233055710793,0.1438751369714737,0.15016122162342072,0.4318005442619324,0.1406477391719818,0.41592711210250854,0.09786483645439148,0.3070169687271118,0.02134311944246292,0.1529887318611145,0.14719921350479126,0.4279356300830841,0.5677993893623352,0.00019999999494757503
3,0.17465810477733612,0.47557979822158813,0.201239213347435,0.49469107389450073,0.0371273010969162,0.2128104269504547,0.18273700773715973,0.48370084166526794,0.16622240841388702,0.46010756492614746,0.10491011291742325,0.3398413360118866,0.0414121076464653,0.22285225987434387,0.1751377284526825,0.47273340821266174,0.6684501767158508,0.1474819928407669,0.4230528175830841,0.17315258085727692,0.4471653997898102,0.011999263428151608,0.11818692088127136,0.13845194876194,0.41527438163757324,0.13146285712718964,0.3977751135826111,0.09330891817808151,0.29405805468559265,0.01921163685619831,0.14406998455524445,0.1220230832695961,0.381104052066803,0.5180630683898926,0.00019999999494757503
4,0.1671343892812729,0.46176254749298096,0.18310323357582092,0.4661997854709625,0.03363244608044624,0.20223046839237213,0.16607248783111572,0.4572032690048218,0.15790514647960663,0.44531676173210144,0.09473775327205658,0.31931212544441223,0.03771581873297691,0.21131648123264313,0.16203029453754425,0.4528987407684326,0.6187034845352173,0.14541928470134735,0.415062814950943,0.15528951585292816,0.4074595272541046,0.012210424989461899,0.11759287863969803,0.13296465575695038,0.4074033200740814,0.1383068859577179,0.40251848101615906,0.11266352981328964,0.32527273893356323,0.016099750995635986,0.12827558815479279,0.13733626902103424,0.4139382243156433,0.5256586074829102,0.00019999999494757503
5,0.16139574348926544,0.45182645320892334,0.16769707202911377,0.4407960772514343,0.03138887509703636,0.1961115151643753,0.15491382777690887,0.43745702505111694,0.1540413796901703,0.43806830048561096,0.08497779816389084,0.30161193013191223,0.03536910191178322,0.20478171110153198,0.151921346783638,0.43660444021224976,0.5814246535301208,0.14036154747009277,0.403044193983078,0.15511256456375122,0.41033437848091125,0.012763426639139652,0.12271413952112198,0.12005458772182465,0.375464528799057,0.13280697166919708,0.3922748267650604,0.06964744627475739,0.25158268213272095,0.016792641952633858,0.13092277944087982,0.12494255602359772,0.38808298110961914,0.4776133596897125,0.00019999999494757503
6,0.1578635722398758,0.44489428400993347,0.15923944115638733,0.4259988069534302,0.02963998354971409,0.19011180102825165,0.14542095363140106,0.423002690076828,0.14950813353061676,0.43101099133491516,0.08161665499210358,0.29339244961738586,0.03313864767551422,0.1974269598722458,0.14593136310577393,0.42679446935653687,0.5573980212211609,0.13688206672668457,0.39710989594459534,0.15164704620838165,0.39436444640159607,0.011403471231460571,0.1145532950758934,0.1258135735988617,0.3946937620639801,0.1286316215991974,0.384727418422699,0.06904315948486328,0.24470749497413635,0.015929311513900757,0.13029524683952332,0.11472261697053909,0.36349719762802124,0.466093510389328,0.00019999999494757503
7,0.15386149287223816,0.43749481439590454,0.15120993554592133,0.4115665555000305,0.02818189188838005,0.18458467721939087,0.13961489498615265,0.4129065275192261,0.14602938294410706,0.42454034090042114,0.0752623900771141,0.28124991059303284,0.03134988620877266,0.192154198884964,0.13880106806755066,0.4158986210823059,0.5339601635932922,0.13853472471237183,0.3982590436935425,0.14422927796840668,0.3876073360443115,0.010393848642706871,0.10434968769550323,0.10406293720006943,0.34654924273490906,0.1267831176519394,0.3778727650642395,0.06300554424524307,0.23486149311065674,0.014304748736321926,0.11833316087722778,0.10663899034261703,0.35453152656555176,0.4390990734100342,0.00019999999494757503
8,0.15267163515090942,0.43485039472579956,0.14731764793395996,0.40422090888023376,0.02601782977581024,0.17707979679107666,0.13380442559719086,0.4025980532169342,0.14383059740066528,0.4208316504955292,0.07191299647092819,0.27473771572113037,0.029498882591724396,0.18676289916038513,0.13379469513893127,0.40791070461273193,0.5184913873672485,0.13321204483509064,0.3871670365333557,0.13653726875782013,0.3690744936466217,0.010458752512931824,0.10469476133584976,0.10514171421527863,0.34325912594795227,0.12123265862464905,0.37145376205444336,0.06301534175872803,0.22840344905853271,0.01348289754241705,0.11560007929801941,0.10734294354915619,0.35756421089172363,0.42752698063850403,0.00019999999494757503
9,0.15204671025276184,0.43279871344566345,0.1402803361415863,0.3927680552005768,0.024567481130361557,0.17202617228031158,0.129527285695076,0.3950844705104828,0.13935139775276184,0.41317978501319885,0.06773476302623749,0.26682403683662415,0.02767028473317623,0.1798103302717209,0.1291581392288208,0.3992297947406769,0.5008507370948792,0.1344461292028427,0.38653263449668884,0.12595553696155548,0.3462468683719635,0.011508004739880562,0.11242252588272095,0.11068353056907654,0.3634493350982666,0.12759454548358917,0.38461336493492126,0.0609779953956604,0.22219079732894897,0.013465160503983498,0.1131369099020958,0.10912652313709259,0.3595893681049347,0.42896127700805664,0.00019999999494757503
