id,algorithm,algorithm_family,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,ratio_log2_head,freq_log2_head
1152,series3,series,267.5397,0.5,0.1519,3.4268,0.4237,0.4803,0.6908,-0.1834,0.1176,3.5363,4.2717,0.2001,0.002,0.1463,0.3137,0.1523,0.0033,0.0982,0.2563,0.0657,2,-1.0,8.063609
2362,parallel5,parallel,417.9792,4.0,1.6021,1.297,0.767,2.4247,3.9257,-0.1624,0.1506,0.2608,2.5725,0.07,0.0068,0.0999,0.1277,0.0368,0.0025,0.0898,0.3947,0.0551,0,2.0,8.707287
969,series3_parallel2,series,609.3197,1.5,2.1252,1.8743,2.973,3.6441,5.7936,0.0713,0.0962,2.2964,4.8349,0.0566,0.0067,0.027,0.1066,0.0196,0.0598,0.126,0.4923,0.1228,3,0.5849625,9.251056
962,series2x2_parallel1,parallel,96.1078,1.0,3.7088,3.3874,2.8536,4.902,1.0302,-2.0618,0.0705,2.5393,5.7142,0.0456,0.0033,0.1486,0.3089,0.0467,0.0026,0.0391,0.1927,0.0334,1,0.0,6.5865817
2277,series2x2_parallel1,parallel,359.4439,1.0,0.3263,1.6132,0.6154,3.5929,1.1668,-0.3896,0.0203,2.002,1.4927,0.1094,0.0055,0.0611,0.1443,0.0448,0.0038,0.0328,0.0662,0.0281,1,0.0,8.489623
3660,series3,series,310.3306,2.0,1.419,4.5484,2.9162,0.6109,0.1581,2.8911,0.0411,1.6887,1.1455,0.1545,0.1162,0.0854,0.5326,0.3143,0.0039,0.0469,0.3063,0.0177,2,1.0,8.277662
391,parallel5,parallel,387.9162,1.5,3.2862,5.4739,4.1854,0.6285,3.1452,-2.0234,0.0946,2.4094,4.4485,0.1612,0.0128,0.1778,0.4589,0.0739,0.0083,0.0301,0.2127,0.0606,0,0.5849625,8.599601
3086,series3,series,622.2008,0.5,3.6308,2.9752,5.5044,5.7507,0.5323,2.3295,0.0006,1.34,0.3788,0.1853,0.0061,0.0413,0.1193,0.0227,0.0125,0.0894,0.3466,0.0483,2,-1.0,9.281237
2777,series2x2_parallel1,parallel,438.0499,0.1667,1.0967,0.6984,0.1717,4.9734,4.3231,1.3167,0.1635,3.1729,3.3389,0.0982,0.0069,0.1933,0.4049,0.0731,0.0026,0.045,0.3343,0.2362,1,-2.584674,8.774951
2242,parallel5,parallel,222.5258,1.5,0.865,0.3929,0.325,2.7623,2.3346,1.9611,0.1143,3.5835,6.0509,0.1799,0.0016,0.0929,0.1263,0.0329,0.092,0.2558,0.5032,0.2247,0,0.5849625,7.7978287
3101,series3_parallel2,series,171.2848,2.0,0.7736,1.6945,1.2435,1.1163,1.1134,-0.8035,0.0639,3.0191,0.6462,0.1806,0.0071,0.1422,0.3829,0.081,0.135,0.0679,0.4709,0.3636,3,1.0,7.4202533
3043,series3,series,608.5333,0.125,0.7395,0.7907,3.2613,2.8346,1.2334,-0.0634,0.1389,3.61,1.0779,0.1996,0.0116,0.0924,0.2312,0.0408,0.0064,0.1446,0.4696,0.2228,2,-3.0,9.249192
66,series2x2_parallel1,parallel,122.8398,0.1667,3.279,1.629,1.7592,4.8013,3.1502,1.7397,0.0977,1.2931,4.5247,0.0465,0.0052,0.0728,0.0961,0.0317,0.0087,0.0515,0.2812,0.0229,1,-2.584674,6.9406343
1613,series3,series,561.4322,1.5,0.1956,2.6932,3.4489,1.3504,3.2599,-1.5143,0.1213,1.2796,2.6505,0.2013,0.0398,0.0666,0.5697,0.179,0.0112,0.1073,0.121,0.1048,2,0.5849625,9.132968
3231,parallel5,parallel,367.4787,3.0,1.1519,4.0797,3.1057,2.705,4.0987,2.536,0.0401,2.4828,7.646,0.0429,0.0089,0.2244,0.7388,0.0746,0.0021,0.195,0.4177,0.0336,0,1.5849625,8.521517
2353,series3,series,681.0788,0.25,4.5296,1.6006,1.7953,2.1905,2.8518,1.7347,0.0414,1.9941,7.035,0.15,0.0089,0.1899,0.597,0.0528,0.0598,0.0681,0.5636,0.1191,2,-2.0,9.411678
1666,series2x2_parallel1,parallel,371.3196,0.3333,3.1541,1.2412,5.3176,1.3901,3.3187,-2.5003,0.1174,2.7626,0.6352,0.1736,0.0028,0.0633,0.079,0.0343,0.0065,0.0287,0.2029,0.0616,1,-1.5851068,8.536518
1977,series3,series,308.8103,0.3333,1.7356,5.923,1.6144,1.2554,1.8676,-2.8545,0.1341,2.7897,5.3415,0.0336,0.0385,0.1865,0.6064,0.0835,0.0128,0.1247,0.1284,0.0821,2,-1.5851068,8.270577
145,series3,series,224.602,0.25,3.0408,5.9886,2.361,0.7021,0.5383,-2.9638,0.1419,2.7492,7.5487,0.151,0.0021,0.0446,0.0551,0.0835,0.0113,0.317,0.7548,0.0791,2,-2.0,7.811227
2380,series3,series,265.7783,3.0,3.9395,1.9402,2.924,1.2126,1.8193,2.0182,0.1458,1.4306,4.8116,0.0712,0.0034,0.1452,0.328,0.0672,0.007,0.1098,0.7517,0.1056,2,1.5849625,8.054079
4034,series3,series,192.4887,2.0,0.9547,3.9902,1.5026,1.2732,1.0346,-0.6092,0.0566,2.3139,1.0775,0.139,0.0088,0.121,0.3201,0.0576,0.0057,0.0266,0.0773,0.0779,2,1.0,7.5886297
2127,series2x2_parallel1,parallel,188.0097,1.5,2.7655,2.5065,3.957,3.6851,5.6761,-2.1583,0.106,3.2946,0.4443,0.152,0.0015,0.043,0.1383,0.0229,0.002,0.1103,0.1643,0.0483,1,0.5849625,7.554663
4029,series3,series,357.9143,0.1667,0.6745,0.6952,0.3959,4.7434,0.6935,1.742,0.1676,2.3465,5.2258,0.021,0.0023,0.0378,0.0631,0.0205,0.0044,0.2449,0.7808,0.0644,2,-2.584674,8.48347
259,parallel5,parallel,401.1965,0.2,3.4027,2.6989,1.3412,2.2003,1.6069,-1.9572,0.0764,2.0548,4.2058,0.1278,0.0097,0.0966,0.591,0.1962,0.0026,0.1179,0.2612,0.021,0,-2.321928,8.648166
3900,series3,series,385.3483,3.0,2.6435,1.7373,1.2893,4.4755,3.6967,2.5021,0.028,1.5677,7.3721,0.017,0.0836,0.0848,0.8093,0.136,0.0124,0.1748,0.5348,0.0497,2,1.5849625,8.590019
3806,series3,series,255.3636,1.0,0.7844,0.4791,3.7225,2.9487,1.4929,0.5924,0.0096,1.3045,5.4029,0.0216,0.0063,0.037,0.0509,0.0409,0.006,0.3074,0.588,0.0755,2,0.0,7.996409
2930,series3,series,82.4845,0.25,1.0154,3.2317,0.7451,1.3624,0.9909,-2.007,0.1159,2.8712,1.8013,0.0206,0.0052,0.1523,0.3115,0.0792,0.0115,0.1193,0.0769,0.0305,2,-2.0,6.366051
1871,series3_parallel2,series,388.1048,3.0,0.2668,5.0137,1.4896,2.7384,0.16,-2.8275,0.0422,0.4011,0.8464,0.2438,0.0016,0.0445,0.0776,0.0173,0.0113,0.0998,0.7511,0.1384,3,1.5849625,8.600303
