id,algorithm,frequencia_base,ratio_carrier,index_12,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,freq_log2,algorithm_idx,freq_bin
953,series2x2_parallel1,158.7424,1.0,0.5685,-0.6758,0.1318,3.0636,6.5945,0.187,7.3105435,1,4
237,series3,740.0412,3.0,4.4921,8.2765,0.076,1.6321,1.9258,0.0228,9.531462,2,11
1233,parallel5,124.6812,0.125,0.7894,11.1653,0.0135,0.0,0.0,-0.1449,6.9621,0,3
2534,series3,430.5561,0.125,1.9863,-1.2064,0.0753,3.8935,3.5982,0.0521,8.750057,2,8
1028,series3,93.9499,4.0,1.5881,-11.0018,0.1179,0.0,0.0,0.1718,6.5538197,2,1
1177,parallel5,91.3032,4.0,0.2911,3.3605,0.0449,0.0,0.0,0.2047,6.5125933,0,1
2805,parallel5,343.0761,3.0,1.5757,-4.7353,0.0723,0.0,0.0,-0.0636,8.422385,0,7
544,parallel5,117.6073,1.5,0.4674,2.0881,0.0562,1.6923,0.687,0.1729,6.877834,0,2
1782,series3_parallel2,457.8277,3.0,4.2103,-8.2659,0.1768,3.9222,7.925,0.1109,8.838661,3,8
688,parallel5,106.0128,0.2,4.8605,-9.9591,0.0054,2.1933,0.3844,-0.2034,6.7280946,0,2
309,parallel5,94.5921,3.0,4.4374,-8.7414,0.0967,3.6275,5.5631,0.2152,6.5636477,0,1
570,series2x2_parallel1,241.306,1.5,0.0424,6.2146,0.0284,0.0,0.0,-0.1282,7.91472,1,5
2942,series2x2_parallel1,178.7125,0.5,1.8645,-5.8261,0.1548,2.6581,2.6797,-0.2041,7.481497,1,4
453,series2x2_parallel1,165.6521,0.125,0.3997,-1.3094,0.0322,0.8158,3.3803,-0.0659,7.3720126,1,4
2730,series2x2_parallel1,83.9667,0.2,2.3257,-2.3922,0.0399,2.5128,3.8463,-0.2313,6.3917456,1,1
2893,series2x2_parallel1,74.7588,4.0,4.0454,-10.3244,0.1234,2.0267,3.8635,0.0167,6.2241716,1,0
135,series3_parallel2,722.6085,2.0,5.5377,-7.8324,0.1366,2.6216,2.5748,0.1907,9.49707,3,11
1532,series2x2_parallel1,339.1392,4.0,1.4288,-8.4176,0.1409,0.0,0.0,-0.0704,8.405734,1,7
1013,parallel5,85.4103,2.0,0.6967,4.8515,0.2514,0.0,0.0,-0.1154,6.416338,0,1
1424,parallel5,335.8612,0.25,0.0007,11.2239,0.2446,0.0,0.0,-0.0499,8.391722,0,7
873,series2x2_parallel1,299.3823,0.3333,5.8737,0.067,0.0328,2.7459,3.1864,0.2479,8.225845,1,6
2182,series2x2_parallel1,81.3293,0.125,2.6995,7.7736,0.0137,1.2102,0.4562,0.0725,6.345703,1,0
2698,series3,152.0171,0.5,1.3119,-0.2159,0.0553,3.741,2.9265,-0.0343,7.24809,2,3
2709,series3,81.3987,3.0,1.9331,-9.2675,0.2386,1.3163,6.4084,0.105,6.346934,2,0
494,series2x2_parallel1,157.2219,0.125,3.1077,-5.343,0.0199,0.0,0.0,0.0651,7.2966585,1,3
320,series2x2_parallel1,74.5327,0.6667,0.9525,10.758,0.1574,1.8652,2.101,0.0152,6.2198014,1,0
2776,series3_parallel2,218.1719,0.5,4.0024,3.4012,0.1122,2.1713,3.3677,0.0794,7.7693214,3,5
1940,parallel5,345.4058,1.0,1.6748,2.9723,0.0013,0.0,0.0,-0.2281,8.432149,0,7
1475,series3_parallel2,194.0091,0.2,2.9448,5.4148,0.0486,0.0,0.0,-0.0204,7.5999804,3,4
2665,series3,103.9597,0.25,0.3663,-3.9372,0.0326,2.6752,7.1764,-0.0381,6.6998806,2,2
2434,series2x2_parallel1,378.6334,1.5,0.1601,6.3014,0.1271,0.0,0.0,-0.1179,8.564658,1,7
2748,series3,72.3196,0.25,5.9197,1.5907,0.0108,1.5095,5.0041,0.1955,6.176315,2,0
1974,series3,271.0647,1.5,4.014,-10.2089,0.1367,2.4683,2.7155,-0.1243,8.082494,2,6
890,parallel5,86.0913,0.5,1.155,2.2338,0.02,0.0,0.0,0.0484,6.4277954,0,1
2623,series2x2_parallel1,373.6104,4.0,0.6477,10.5499,0.0061,1.2429,2.6626,-0.2467,8.545391,1,7
571,series3,79.9371,0.1667,0.404,-2.982,0.0286,3.9599,3.5498,0.1887,6.320793,2,0
2307,series3,189.8,2.0,0.575,-6.1321,0.2575,2.8491,1.5669,0.0061,7.568336,2,4
1180,parallel5,171.0122,0.5,1.2259,-3.6738,0.0442,2.5497,7.0683,0.1292,7.4179554,0,4
2555,series3,570.6376,1.0,1.2423,-7.8328,0.1211,3.2432,6.3702,-0.1945,9.156431,2,9
1100,series2x2_parallel1,178.4124,1.0,1.0205,-5.0487,0.0858,0.0,0.0,-0.216,7.479072,1,4
391,series3_parallel2,72.7594,0.25,0.193,-9.029,0.0705,0.0,0.0,0.0853,6.185062,3,0
1292,series3,113.1805,4.0,2.6351,-3.8272,0.0516,0.0,0.0,-0.0319,6.8224816,2,2
2669,series3,312.0282,0.2,1.327,-10.4639,0.1534,0.0,0.0,-0.1254,8.285533,2,7
1951,series3_parallel2,103.6905,0.25,1.1815,-4.6178,0.0068,0.0,0.0,-0.1179,6.69614,3,2
2209,series3_parallel2,429.3347,0.25,4.2408,11.4044,0.187,2.2994,5.3301,0.1863,8.745959,3,8
2279,parallel5,82.8114,0.5,1.7547,-6.821,0.0231,0.0,0.0,-0.2356,6.3717575,0,1
1030,parallel5,253.0593,2.0,2.7064,-8.7486,0.1669,1.9148,3.0165,-0.0048,7.9833317,0,6
2265,series3_parallel2,523.6743,3.0,2.7835,8.6777,0.049,1.0886,3.688,0.2275,9.032526,3,9
1387,series3_parallel2,610.782,1.0,0.2693,2.3118,0.0021,1.1778,6.775,0.2473,9.254514,3,10
1622,parallel5,833.8522,0.1667,1.027,-6.3431,0.0826,0.0,0.0,0.2091,9.703648,0,11
878,series3,367.1435,0.5,2.1537,-7.3694,0.1436,0.0,0.0,-0.1637,8.5202,2,7
507,series3,834.5345,1.5,1.3246,-4.2807,0.1151,0.0,0.0,0.207,9.704828,2,11
2622,series2x2_parallel1,689.4666,1.0,1.4202,-11.366,0.034,0.0,0.0,-0.0736,9.429337,1,10
2894,series2x2_parallel1,384.338,1.0,0.5981,0.426,0.0554,0.0,0.0,-0.0153,8.586232,1,7
2222,series3_parallel2,379.2009,0.3333,0.1605,3.1661,0.0049,3.681,0.6466,-0.1339,8.566818,3,7
2063,series2x2_parallel1,80.4399,1.0,3.7446,-1.9597,0.075,1.6339,1.7,0.0797,6.329839,1,0
1435,series3,309.6319,0.2,3.9526,11.8724,0.1114,0.6557,0.9071,-0.0128,8.27441,2,7
673,series2x2_parallel1,198.5803,0.3333,0.8505,9.4348,0.22,0.0,0.0,0.1877,7.633579,1,5
1740,parallel5,199.2222,3.0,5.5547,5.5802,0.2616,0.0,0.0,0.028,7.6382346,0,5
2726,series3_parallel2,254.996,3.0,5.7577,-8.607,0.1135,1.7462,7.9915,-0.1937,7.994331,3,6
646,series3_parallel2,87.7135,0.25,3.6658,-1.7002,0.0939,0.0,0.0,0.1152,6.454727,3,1
614,series2x2_parallel1,207.2982,0.125,0.2441,3.3938,0.156,0.0,0.0,0.2437,7.695564,1,5
2827,parallel5,872.7226,0.5,0.6324,-7.4272,0.2054,0.0,0.0,0.1264,9.76938,0,11
2656,series3_parallel2,133.0858,1.0,0.1166,10.9441,0.2005,0.0,0.0,0.1172,7.056213,3,3
2134,parallel5,494.6997,1.5,0.7757,-3.5256,0.1829,0.0,0.0,-0.0274,8.950409,0,9
2959,series3,835.5607,2.0,1.8844,-11.8503,0.0878,1.782,1.7666,-0.0359,9.706601,2,11
892,parallel5,512.9716,0.1667,0.792,-0.9459,0.1521,0.0,0.0,-0.0962,9.002735,0,9
48,series3_parallel2,288.1681,0.1667,2.1317,-6.6436,0.0055,0.0,0.0,0.1885,8.170767,3,6
3063,series2x2_parallel1,166.801,0.25,0.3824,-6.3471,0.0097,0.0,0.0,-0.1242,7.381984,1,4
1032,parallel5,82.004,3.0,3.4282,-7.8394,0.0058,0.0,0.0,0.2334,6.357622,0,1
2058,series2x2_parallel1,542.119,1.0,0.9759,9.5334,0.1792,0.0,0.0,0.0698,9.082466,1,9
1908,series2x2_parallel1,141.1058,1.0,3.166,-2.4265,0.2359,3.848,2.4397,0.076,7.1406336,1,3
1455,series2x2_parallel1,67.1721,1.0,2.1682,6.8169,0.2523,0.0,0.0,0.1074,6.0697904,1,0
1187,series3,305.4191,3.0,0.0445,-0.3985,0.0611,0.0,0.0,0.1121,8.254646,2,6
723,parallel5,104.0653,0.125,4.2818,-7.0087,0.0955,0.0,0.0,-0.0067,6.7013454,0,2
2050,parallel5,227.2578,0.1667,0.6395,2.1318,0.0115,1.9855,1.9988,0.1744,7.828186,0,5
2377,series3_parallel2,665.02,0.125,3.2114,-5.5842,0.2785,0.9823,1.0883,0.0646,9.377254,3,10
280,parallel5,591.9098,0.25,3.5581,10.2505,0.0596,2.2421,6.4638,0.1918,9.209233,0,10
1225,series3_parallel2,291.8521,1.0,0.0982,-4.5243,0.2408,0.7788,5.7025,0.2176,8.189094,3,6
2811,series3_parallel2,460.218,4.0,4.2679,10.9013,0.2783,0.0,0.0,0.2092,8.846173,3,8
1041,series2x2_parallel1,589.8411,0.2,0.0714,-0.5083,0.0046,0.0,0.0,-0.2082,9.204183,1,10
84,series3,804.6148,1.5,5.3591,-6.3446,0.0474,0.6215,4.5698,0.0084,9.652155,2,11
1126,series3_parallel2,713.5992,1.0,3.6978,11.4483,0.0422,0.0,0.0,-0.0132,9.478971,3,10
1795,series3,85.9303,0.5,2.1865,-11.6287,0.1275,0.0,0.0,0.2058,6.425095,2,1
80,series3,180.9295,1.0,0.109,-11.9084,0.0989,2.1811,0.7759,-0.1465,7.499284,2,4
120,series3_parallel2,129.3568,0.125,4.1854,8.454,0.0812,0.0,0.0,-0.192,7.015212,3,3
653,series2x2_parallel1,650.5302,2.0,0.8915,-9.6327,0.219,0.0,0.0,-0.0129,9.345472,1,10
2759,parallel5,697.0762,2.0,0.43,1.7062,0.1935,0.0,0.0,-0.0487,9.445172,0,10
2951,series2x2_parallel1,706.0769,0.2,0.8222,-5.8714,0.0231,0.0,0.0,-0.1234,9.463681,1,10
1384,parallel5,158.8446,1.5,0.8753,-6.0318,0.2395,0.0,0.0,-0.1032,7.3114724,0,4
41,parallel5,823.0316,0.1667,1.1729,6.3174,0.0772,0.0,0.0,-0.0313,9.684804,0,11
2985,series2x2_parallel1,92.1919,0.3333,1.9177,-9.4757,0.0777,2.5996,3.2099,-0.033,6.526568,1,1
303,parallel5,307.4592,2.0,1.29,-10.5244,0.0167,0.0,0.0,0.1275,8.264251,0,6
2969,series3,190.2916,1.0,1.8577,-4.058,0.0029,1.5661,6.8496,0.0762,7.572068,2,4
593,series2x2_parallel1,185.1771,2.0,4.5385,-9.0505,0.1141,1.3699,3.6153,0.0931,7.532762,1,4
