id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,freq_log2,ratio_log2,ratio_idx,algorithm_idx
2636,series3_parallel2,314.5919,0.5,2.7922,1.7119,4.0587,0.9526,4.0665,-4.8578,0.0183,0.0,0.0,0.2056,8.297338,-1.0,5,3
960,parallel5,109.254,1.5,3.5821,2.7046,3.5851,5.0162,3.2692,8.7893,0.0395,3.1648,0.0158,-0.2397,6.771542,0.5849625,8,0
1382,parallel5,80.9033,0.25,0.7293,5.3805,1.6878,0.2034,1.5276,2.5829,0.0483,1.3713,6.004,0.0019,6.3381267,-2.0,3,0
2824,series2x2_parallel1,142.7437,0.5,0.196,0.5695,5.3837,3.8647,0.5103,-10.7695,0.0619,2.8846,4.9453,-0.0038,7.1572833,-1.0,5,1
2684,series2x2_parallel1,607.1532,2.0,0.2917,3.0043,3.2965,3.794,0.9899,-10.4717,0.2283,0.0,0.0,0.0106,9.245916,1.0,9,1
1042,parallel5,734.1384,0.1667,1.5969,1.0597,0.8947,4.0244,1.1566,-6.8412,0.0703,1.0467,1.7826,-0.0679,9.519908,-2.584674,1,0
1997,series3,735.8657,1.0,0.8517,0.9478,1.5288,2.8869,0.3339,9.2351,0.0126,3.8127,4.3466,0.1739,9.523298,0.0,7,2
1274,series2x2_parallel1,142.5701,3.0,3.9267,3.4719,3.9641,3.9275,2.9902,-7.8466,0.0163,0.0,0.0,-0.0538,7.1555276,1.5849625,10,1
1140,series3,422.7319,1.0,0.8265,0.333,0.7929,1.4457,2.0726,11.7498,0.0818,0.0,0.0,-0.1408,8.723599,0.0,7,2
2861,series2x2_parallel1,80.3302,0.125,0.8935,2.8137,2.4662,2.7817,1.2823,7.3865,0.0054,0.0,0.0,-0.051,6.3278704,-3.0,0,1
2825,series3,125.6826,3.0,0.2361,4.294,3.7938,2.3917,2.8911,-6.9114,0.2544,1.0077,0.4031,0.2023,6.973641,1.5849625,10,2
660,series3_parallel2,382.6335,3.0,2.4563,1.7408,2.4965,5.0216,0.1796,-2.6234,0.0709,1.1883,6.1577,0.1156,8.57982,1.5849625,10,3
2544,series3,603.0577,0.6667,1.5474,2.0928,2.0687,1.3126,4.5921,-11.1967,0.2787,0.0,0.0,-0.1485,9.236153,-0.58489037,6,2
2412,series2x2_parallel1,289.5338,1.0,0.5841,2.6165,4.314,1.6057,3.3571,-2.4092,0.2577,3.7804,3.461,0.0975,8.177588,0.0,7,1
4,parallel5,539.6146,1.0,4.3969,4.7969,2.0543,0.5163,3.1392,-6.0425,0.1466,2.4713,5.1602,0.0734,9.075786,0.0,7,0
1672,series2x2_parallel1,376.8027,1.0,0.6656,2.9895,1.3433,3.6584,0.6162,-0.7781,0.0008,0.0,0.0,0.1773,8.557666,0.0,7,1
969,parallel5,81.467,0.125,3.9777,1.6423,5.4876,1.3635,0.6864,-7.1879,0.2108,2.695,0.5492,-0.2052,6.348144,-3.0,0,0
1905,series2x2_parallel1,115.082,0.25,2.4702,3.2148,1.1597,1.1618,1.2461,-8.6218,0.0618,0.0,0.0,0.0229,6.8465185,-2.0,3,1
2522,parallel5,306.2127,3.0,1.2053,1.4983,0.7475,2.9748,0.5145,-2.3925,0.1011,0.0,0.0,0.1232,8.25839,1.5849625,10,0
833,series2x2_parallel1,364.2812,1.0,2.3252,3.3436,5.7101,0.5531,4.1018,-6.6883,0.0114,0.0,0.0,0.1437,8.508908,0.0,7,1
332,series2x2_parallel1,455.2641,2.0,1.8824,3.3146,0.631,4.3059,2.1665,-4.3167,0.0826,0.0,0.0,0.1738,8.83056,1.0,9,1
2969,series3,66.9721,2.0,2.6827,0.2594,0.3962,2.1145,3.9436,-5.836,0.1641,3.8371,1.8515,0.0003,6.0654883,1.0,9,2
919,series2x2_parallel1,311.5294,4.0,0.6025,1.701,1.4492,0.684,1.1356,-3.7693,0.1083,0.0,0.0,0.2083,8.283224,2.0,11,1
22,series3_parallel2,194.603,1.0,0.9272,5.9076,0.6227,3.6411,0.8138,11.6968,0.0705,0.0,0.0,-0.1421,7.60439,0.0,7,3
1040,series2x2_parallel1,65.3706,4.0,3.5262,3.8176,0.3481,1.3997,1.6727,9.2294,0.0132,1.9215,1.0595,0.0287,6.03057,2.0,11,1
1825,series2x2_parallel1,233.8265,0.125,1.2456,2.275,3.3844,0.564,1.5449,-5.3261,0.2532,0.0,0.0,-0.1406,7.8692946,-3.0,0,1
2095,series3,108.7438,0.6667,4.4841,1.0282,3.6024,0.3446,2.3122,-2.12,0.0985,2.4934,0.8479,0.1247,6.764789,-0.58489037,6,2
1434,series3,247.6397,1.5,5.2095,4.126,3.472,1.6505,3.3481,2.7545,0.0782,0.0,0.0,0.1335,7.952099,0.5849625,8,2
958,parallel5,288.4318,0.6667,3.1614,3.7773,5.9541,1.7372,3.8007,-9.9419,0.006,0.0,0.0,0.113,8.172087,-0.58489037,6,0
2445,parallel5,132.8341,1.5,0.9532,2.8753,5.7923,0.8617,3.3446,0.1968,0.1185,3.5847,3.6311,0.0477,7.0534816,0.5849625,8,0
